Unnamed: 0,GEN_NAME,PMAX,PMIN,RAMP_10,GEN_FUEL,PRIMEMOVER,Energy_Source_1 (Fuel),RAMP_min,SimGEN_PERCidx,StartUpCost,MinDownTime,MinRunTime
158,Kent,65.0,17.0,10.833333,Combined Cycle,CC,NG,1.0833333,198,19448.0,4.0,6.0
159,KIAC_JFK_GT1,71.0,4.0,11.833333,Combined Cycle,CC,NG,1.1833333,680,6994.0,4.0,6.0
160,KIAC_JFK_GT2,49.0,8.0,8.166667,Combustion Turbine,CT,NG,0.8166667000000001,913,43629.4,4.0,5.0
161,Lockport,153.0,28.0,25.5,Combined Cycle,CC,NG,2.55,198,19448.0,4.0,6.0
162,Massena,55.0,0.0,9.166667,Combined Cycle,CC,NG,0.9166667000000001,680,6994.0,4.0,6.0
163,Narrows 1-1,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
164,Narrows 1-2,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
165,Narrows 1-3,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
166,Narrows 1-4,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
167,Narrows 1-5,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
168,Narrows 1-6,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
169,Narrows 1-7,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
170,Narrows 1-8,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
171,Narrows 2-1,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
172,Narrows 2-2,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
173,Narrows 2-3,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
174,Narrows 2-4,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
175,Narrows 2-5,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
176,Narrows 2-6,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
177,Narrows 2-7,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
178,Narrows 2-8,22.0,0.0,3.666667,Combustion Turbine,CT,DFO,0.3666667,498,0.0,3.0,5.0
179,Nassau Energy Corporation,53.0,35.0,8.833333,Combined Cycle,CC,NG,0.8833333,198,19448.0,4.0,6.0
180,Northport 1,410.0,108.0,68.333333,Steam Turbine,ST,NG,6.8333333,978,19448.0,3.5,5.5
181,Northport 2,410.0,111.0,68.333333,Steam Turbine,ST,NG,6.8333333,978,19448.0,3.5,5.5
182,Northport 3,411.0,109.0,68.5,Steam Turbine,ST,NG,6.85,978,19448.0,3.5,5.5
183,Northport 4,413.0,109.0,68.833333,Steam Turbine,ST,NG,6.883333299999999,978,19448.0,3.5,5.5
